Vict Sex,Vict Descent,DATE OCC,AREA NAME,Vict Age,Vict Descent Desc,Vict Sex Desc,AREA RENT
1.0,1,2020-08-10,Hollywood,73.0,Hispanic/Latin/Mexican,Male,578.81
0.0,4,2022-05-06,Pacific,39.5674100496031,Unknown,Unknown,551.25
2.0,1,2020-05-22,Northeast,9.0,Hispanic/Latin/Mexican,Female,989.97
1.0,3,2022-09-27,Hollywood,53.0,White,Male,578.81
0.0,4,2021-07-11,Hollenbeck,39.5674100496031,Unknown,Unknown,1263.48
1.0,1,2021-02-08,77th Street,49.0,Hispanic/Latin/Mexican,Male,500.0
1.0,0,2021-07-14,Olympic,24.0,Black,Male,897.93
2.0,0,2021-05-07,Southeast,36.0,Black,Female,703.55
1.0,1,2020-04-12,Newton,24.0,Hispanic/Latin/Mexican,Male,638.14
1.0,0,2022-05-13,Wilshire,22.0,Black,Male,738.73
2.0,1,2020-09-01,Olympic,25.0,Hispanic/Latin/Mexican,Female,897.93
1.0,0,2020-10-02,Wilshire,24.0,Black,Male,738.73
2.0,1,2020-02-14,Southeast,37.0,Hispanic/Latin/Mexican,Female,703.55
1.0,0,2021-07-23,Hollywood,27.0,Black,Male,578.81
2.0,3,2020-08-30,Southwest,44.0,White,Female,607.75
2.0,3,2021-03-21,Topanga,52.0,White,Female,1203.31
0.0,4,2021-06-17,Pacific,39.5674100496031,Unknown,Unknown,551.25
